NDC5_4,PRODUCTTYPENAME,PROPRIETARYNAME,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,isgeneric,isoral
000027511,HUMAN PRESCRIPTION DRUG,humalog,insulin lispro,INJECTION,SUBCUTANEOUS,0,0
000027512,HUMAN PRESCRIPTION DRUG,humalog,insulin lispro,INJECTION,SUBCUTANEOUS,0,0
000027712,HUMAN PRESCRIPTION DRUG,humalog,insulin lispro,INJECTION,SUBCUTANEOUS,0,0
000027714,HUMAN PRESCRIPTION DRUG,humalog,insulin lispro,INJECTION,SUBCUTANEOUS,0,0
000027715,HUMAN PRESCRIPTION DRUG,basaglar,insulin glargine,INJECTION,SUBCUTANEOUS,0,0
000027724,HUMAN PRESCRIPTION DRUG,taltz,ixekizumab,INJECTION,SUBCUTANEOUS,0,0
000027726,HUMAN PRESCRIPTION DRUG,lyumjev,insulin lispro-aabc,INJECTION,SUBCUTANEOUS,0,0
000027752,HUMAN PRESCRIPTION DRUG,insulin lispro,insulin lispro,INJECTION,SUBCUTANEOUS,1,0
000028207,HUMAN PRESCRIPTION DRUG,lyumjev,insulin lispro-aabc,INJECTION,SUBCUTANEOUS,0,0
000028213,HUMAN PRESCRIPTION DRUG,humalog,insulin lispro,INJECTION,SUBCUTANEOUS,0,0
000028214,HUMAN PRESCRIPTION DRUG,basaglar,insulin glargine,INJECTION,SUBCUTANEOUS,0,0
000028228,HUMAN PRESCRIPTION DRUG,lyumjev,insulin lispro-aabc,INJECTION,SUBCUTANEOUS,0,0
000028233,HUMAN PRESCRIPTION DRUG,insulin lispro protamine and insulin lispro injectable suspension,insulin lispro,INJECTION,SUBCUTANEOUS,0,0
000028235,HUMAN PRESCRIPTION DRUG,lyumjev,insulin lispro-aabc,INJECTION,SUBCUTANEOUS,0,0
000028351,HUMAN PRESCRIPTION DRUG,lyumjev,insulin lispro-aabc,INJECTION,SUBCUTANEOUS,0,0
000028400,HUMAN PRESCRIPTION DRUG,forteo,teriparatide,INJECTION,SUBCUTANEOUS,0,0
000028501,HUMAN PRESCRIPTION DRUG,humulin,insulin human,INJECTION,SUBCUTANEOUS,0,0
000028797,HUMAN PRESCRIPTION DRUG,humalog,insulin lispro,INJECTION,SUBCUTANEOUS,0,0
000028798,HUMAN PRESCRIPTION DRUG,humalog,insulin lispro,INJECTION,SUBCUTANEOUS,0,0
000028824,HUMAN PRESCRIPTION DRUG,humulin,insulin human,INJECTION,SUBCUTANEOUS,0,0
000028980,HUMAN PRESCRIPTION DRUG,rezvoglar,insulin glargine-aglr,INJECTION,SUBCUTANEOUS,0,0
000030524,HUMAN PRESCRIPTION DRUG,sprycel,dasatinib,TABLET,ORAL,0,1
000030527,HUMAN PRESCRIPTION DRUG,sprycel,dasatinib,TABLET,ORAL,0,1
000030528,HUMAN PRESCRIPTION DRUG,sprycel,dasatinib,TABLET,ORAL,0,1
000030830,HUMAN PRESCRIPTION DRUG,hydrea,hydroxyurea,CAPSULE,ORAL,0,1
000030852,HUMAN PRESCRIPTION DRUG,sprycel,dasatinib,TABLET,ORAL,0,1
000030855,HUMAN PRESCRIPTION DRUG,sprycel,dasatinib,TABLET,ORAL,0,1
000030857,HUMAN PRESCRIPTION DRUG,sprycel,dasatinib,TABLET,ORAL,0,1
000030893,HUMAN PRESCRIPTION DRUG,eliquis,apixaban,TABLET,ORAL,0,1
000030894,HUMAN PRESCRIPTION DRUG,eliquis,apixaban,TABLET,ORAL,0,1
000031611,HUMAN PRESCRIPTION DRUG,baraclude,entecavir,TABLET,ORAL,0,1
000031612,HUMAN PRESCRIPTION DRUG,baraclude,entecavir,TABLET,ORAL,0,1
000032188,HUMAN PRESCRIPTION DRUG,orencia,abatacept,INJECTION,SUBCUTANEOUS,0,0
000032814,HUMAN PRESCRIPTION DRUG,orencia,abatacept,INJECTION,SUBCUTANEOUS,0,0
000032818,HUMAN PRESCRIPTION DRUG,orencia,abatacept,INJECTION,SUBCUTANEOUS,0,0
000033622,HUMAN PRESCRIPTION DRUG,reyataz,atazanavir,CAPSULE,ORAL,0,1
000033624,HUMAN PRESCRIPTION DRUG,reyataz,atazanavir,CAPSULE,ORAL,0,1
000033631,HUMAN PRESCRIPTION DRUG,reyataz,atazanavir,CAPSULE,ORAL,0,1
000033638,HUMAN PRESCRIPTION DRUG,reyataz,atazanavir,POWDER,ORAL,0,1
000033641,HUMAN PRESCRIPTION DRUG,evotaz,atazanavir and cobicistat,TABLET,ORAL,0,1
000036335,HUMAN PRESCRIPTION DRUG,droxia,hydroxyurea,CAPSULE,ORAL,0,1
000036336,HUMAN PRESCRIPTION DRUG,droxia,hydroxyurea,CAPSULE,ORAL,0,1
000036337,HUMAN PRESCRIPTION DRUG,droxia,hydroxyurea,CAPSULE,ORAL,0,1
000040038,HUMAN PRESCRIPTION DRUG,valcyte,valganciclovir,TABLET,ORAL,0,1
000040039,HUMAN PRESCRIPTION DRUG,valcyte,valganciclovir hydrochloride,POWDER,ORAL,0,1
000040058,HUMAN PRESCRIPTION DRUG,klonopin,clonazepam,TABLET,ORAL,0,1
000040068,HUMAN PRESCRIPTION DRUG,klonopin,clonazepam,TABLET,ORAL,0,1
000040098,HUMAN PRESCRIPTION DRUG,klonopin,clonazepam,TABLET,ORAL,0,1
000040186,HUMAN PRESCRIPTION DRUG,boniva,ibandronate sodium,TABLET,ORAL,0,1
000040244,HUMAN PRESCRIPTION DRUG,invirase,saquinavir mesylate,TABLET,ORAL,0,1
000040259,HUMAN PRESCRIPTION DRUG,cellcept,mycophenolate mofetil,CAPSULE,ORAL,0,1
000040260,HUMAN PRESCRIPTION DRUG,cellcept,mycophenolate mofetil,TABLET,ORAL,0,1
000040261,HUMAN PRESCRIPTION DRUG,cellcept,mycophenolate mofetil,POWDER,ORAL,0,1
000040350,HUMAN PRESCRIPTION DRUG,pegasys,peginterferon alfa-2a,INJECTION,SUBCUTANEOUS,0,0
000040357,HUMAN PRESCRIPTION DRUG,pegasys,peginterferon alfa-2a,INJECTION,SUBCUTANEOUS,0,0
000040800,HUMAN PRESCRIPTION DRUG,tamiflu,oseltamivir phosphate,CAPSULE,ORAL,0,1
000040801,HUMAN PRESCRIPTION DRUG,tamiflu,oseltamivir phosphate,CAPSULE,ORAL,0,1
000040802,HUMAN PRESCRIPTION DRUG,tamiflu,oseltamivir phosphate,CAPSULE,ORAL,0,1
000040822,HUMAN PRESCRIPTION DRUG,tamiflu,oseltamivir phosphate,POWDER,ORAL,0,1
000041100,HUMAN PRESCRIPTION DRUG,xeloda,capecitabine,TABLET,ORAL,0,1
000041101,HUMAN PRESCRIPTION DRUG,xeloda,capecitabine,TABLET,ORAL,0,1
000060005,HUMAN PRESCRIPTION DRUG,belsomra,suvorexant,TABLET,ORAL,0,1
000060032,HUMAN PRESCRIPTION DRUG,stromectol,ivermectin,TABLET,ORAL,0,1
000060033,HUMAN PRESCRIPTION DRUG,belsomra,suvorexant,TABLET,ORAL,0,1
000060078,HUMAN PRESCRIPTION DRUG,janumet,sitagliptin and metformin hydrochloride,TABLET,ORAL,0,1
000060080,HUMAN PRESCRIPTION DRUG,janumet,sitagliptin and metformin hydrochloride,TABLET,ORAL,0,1
000060081,HUMAN PRESCRIPTION DRUG,janumet,sitagliptin and metformin hydrochloride,TABLET,ORAL,0,1
000060112,HUMAN PRESCRIPTION DRUG,januvia,sitagliptin,TABLET,ORAL,0,1
000060221,HUMAN PRESCRIPTION DRUG,januvia,sitagliptin,TABLET,ORAL,0,1
000060227,HUMAN PRESCRIPTION DRUG,isentress,raltegravir,TABLET,ORAL,0,1
000060277,HUMAN PRESCRIPTION DRUG,januvia,sitagliptin,TABLET,ORAL,0,1
000060325,HUMAN PRESCRIPTION DRUG,belsomra,suvorexant,TABLET,ORAL,0,1
000060335,HUMAN PRESCRIPTION DRUG,belsomra,suvorexant,TABLET,ORAL,0,1
000060461,HUMAN PRESCRIPTION DRUG,emend,aprepitant,CAPSULE,ORAL,0,1
000060462,HUMAN PRESCRIPTION DRUG,emend,aprepitant,CAPSULE,ORAL,0,1
000060464,HUMAN PRESCRIPTION DRUG,emend,aprepitant,CAPSULE,ORAL,0,1
000060473,HUMAN PRESCRIPTION DRUG,isentress,raltegravir,TABLET,ORAL,0,1
000060477,HUMAN PRESCRIPTION DRUG,isentress,raltegravir,TABLET,ORAL,0,1
000060543,HUMAN PRESCRIPTION DRUG,zocor,simvastatin,TABLET,ORAL,0,1
000060568,HUMAN PRESCRIPTION DRUG,zolinza,vorinostat,CAPSULE,ORAL,0,1
000060571,HUMAN PRESCRIPTION DRUG,crixivan,indinavir sulfate,CAPSULE,ORAL,0,1
000060573,HUMAN PRESCRIPTION DRUG,crixivan,indinavir sulfate,CAPSULE,ORAL,0,1
000060575,HUMAN PRESCRIPTION DRUG,janumet,sitagliptin and metformin hydrochloride,TABLET,ORAL,0,1
000060577,HUMAN PRESCRIPTION DRUG,janumet,sitagliptin and metformin hydrochloride,TABLET,ORAL,0,1
000060735,HUMAN PRESCRIPTION DRUG,zocor,simvastatin,TABLET,ORAL,0,1
000060740,HUMAN PRESCRIPTION DRUG,zocor,simvastatin,TABLET,ORAL,0,1
000060749,HUMAN PRESCRIPTION DRUG,zocor,simvastatin,TABLET,ORAL,0,1
000063066,HUMAN PRESCRIPTION DRUG,emend,aprepitant,POWDER,ORAL,0,1
000063069,HUMAN PRESCRIPTION DRUG,pifeltro,doravirine,TABLET,ORAL,0,1
000063074,HUMAN PRESCRIPTION DRUG,zepatier,elbasvir and grazoprevir,TABLET,ORAL,0,1
000063075,HUMAN PRESCRIPTION DRUG,prevymis,letermovir,TABLET,ORAL,0,1
000063076,HUMAN PRESCRIPTION DRUG,prevymis,letermovir,TABLET,ORAL,0,1
000063080,HUMAN PRESCRIPTION DRUG,isentress,raltegravir,TABLET,ORAL,0,1
000063603,HUMAN PRESCRIPTION DRUG,isentress,raltegravir,GRANULE,ORAL,0,1
000063915,HUMAN PRESCRIPTION DRUG,sinemet,carbidopa and levodopa,TABLET,ORAL,0,1
000063916,HUMAN PRESCRIPTION DRUG,sinemet,carbidopa and levodopa,TABLET,ORAL,0,1
000063917,HUMAN PRESCRIPTION DRUG,sinemet,carbidopa and levodopa,TABLET,ORAL,0,1
000065007,HUMAN PRESCRIPTION DRUG,delstrigo,"doravirine, lamivudine, and tenofovir disoproxil fumarate",TABLET,ORAL,0,1
000065028,HUMAN PRESCRIPTION DRUG,verquvo,vericiguat,TABLET,ORAL,0,1
000065029,HUMAN PRESCRIPTION DRUG,verquvo,vericiguat,TABLET,ORAL,0,1
000065030,HUMAN PRESCRIPTION DRUG,verquvo,vericiguat,TABLET,ORAL,0,1
000065055,HUMAN PRESCRIPTION DRUG,molnupiravir,molnupiravir,CAPSULE,ORAL,1,1
000065331,HUMAN PRESCRIPTION DRUG,welireg,belzutifan,TABLET,ORAL,0,1
000065363,HUMAN PRESCRIPTION DRUG,steglatro,ertugliflozin,TABLET,ORAL,0,1
000065364,HUMAN PRESCRIPTION DRUG,steglatro,ertugliflozin,TABLET,ORAL,0,1
000065367,HUMAN PRESCRIPTION DRUG,steglujan,ertugliflozin and sitagliptin,TABLET,ORAL,0,1
000065368,HUMAN PRESCRIPTION DRUG,steglujan,ertugliflozin and sitagliptin,TABLET,ORAL,0,1
000065369,HUMAN PRESCRIPTION DRUG,segluromet,ertugliflozin and metformin hydrochloride,TABLET,ORAL,0,1
000065370,HUMAN PRESCRIPTION DRUG,segluromet,ertugliflozin and metformin hydrochloride,TABLET,ORAL,0,1
000065373,HUMAN PRESCRIPTION DRUG,segluromet,ertugliflozin and metformin hydrochloride,TABLET,ORAL,0,1
000065374,HUMAN PRESCRIPTION DRUG,segluromet,ertugliflozin and metformin hydrochloride,TABLET,ORAL,0,1
000066722,HUMAN PRESCRIPTION DRUG,sinemet,carbidopa and levodopa,TABLET,ORAL,0,1
000066723,HUMAN PRESCRIPTION DRUG,sinemet,carbidopa and levodopa,TABLET,ORAL,0,1
000066724,HUMAN PRESCRIPTION DRUG,sinemet,carbidopa and levodopa,TABLET,ORAL,0,1
000073370,HUMAN PRESCRIPTION DRUG,coreg,carvedilol phosphate,CAPSULE,ORAL,0,1
000073371,HUMAN PRESCRIPTION DRUG,coreg,carvedilol phosphate,CAPSULE,ORAL,0,1
000073372,HUMAN PRESCRIPTION DRUG,coreg,carvedilol phosphate,CAPSULE,ORAL,0,1
000073373,HUMAN PRESCRIPTION DRUG,coreg,carvedilol phosphate,CAPSULE,ORAL,0,1
000073383,HUMAN PRESCRIPTION DRUG,coreg,carvedilol phosphate,CAPSULE,ORAL,0,1
000073385,HUMAN PRESCRIPTION DRUG,coreg,carvedilol phosphate,CAPSULE,ORAL,0,1
000073387,HUMAN PRESCRIPTION DRUG,coreg,carvedilol phosphate,CAPSULE,ORAL,0,1
000073388,HUMAN PRESCRIPTION DRUG,coreg,carvedilol phosphate,CAPSULE,ORAL,0,1
000074139,HUMAN PRESCRIPTION DRUG,coreg,carvedilol,TABLET,ORAL,0,1
000074140,HUMAN PRESCRIPTION DRUG,coreg,carvedilol,TABLET,ORAL,0,1
000074141,HUMAN PRESCRIPTION DRUG,coreg,carvedilol,TABLET,ORAL,0,1
000074142,HUMAN PRESCRIPTION DRUG,coreg,carvedilol,TABLET,ORAL,0,1
000080833,HUMAN PRESCRIPTION DRUG,effexor,venlafaxine hydrochloride,CAPSULE,ORAL,0,1
000080836,HUMAN PRESCRIPTION DRUG,effexor,venlafaxine hydrochloride,CAPSULE,ORAL,0,1
000080837,HUMAN PRESCRIPTION DRUG,effexor,venlafaxine hydrochloride,CAPSULE,ORAL,0,1
000080841,HUMAN PRESCRIPTION DRUG,protonix,pantoprazole sodium,TABLET,ORAL,0,1
000080843,HUMAN PRESCRIPTION DRUG,protonix,pantoprazole sodium,TABLET,ORAL,0,1
000080844,HUMAN PRESCRIPTION DRUG,protonix,pantoprazole sodium,GRANULE,ORAL,0,1
000081040,HUMAN PRESCRIPTION DRUG,rapamune,sirolimus,TABLET,ORAL,0,1
000081041,HUMAN PRESCRIPTION DRUG,rapamune,sirolimus,TABLET,ORAL,0,1
000081042,HUMAN PRESCRIPTION DRUG,rapamune,sirolimus,TABLET,ORAL,0,1
000081123,HUMAN PRESCRIPTION DRUG,duavee,conjugated estrogens/bazedoxifene,TABLET,ORAL,0,1
000081210,HUMAN PRESCRIPTION DRUG,pristiq,desvenlafaxine succinate,TABLET,ORAL,0,1
000081211,HUMAN PRESCRIPTION DRUG,pristiq,desvenlafaxine succinate,TABLET,ORAL,0,1
000081222,HUMAN PRESCRIPTION DRUG,pristiq,desvenlafaxine succinate,TABLET,ORAL,0,1
000084117,HUMAN PRESCRIPTION DRUG,trecator,ethionamide,TABLET,ORAL,0,1
000090012,HUMAN PRESCRIPTION DRUG,cortef,hydrocortisone,TABLET,ORAL,0,1
000090017,HUMAN PRESCRIPTION DRUG,halcion,triazolam,TABLET,ORAL,0,1
000090020,HUMAN PRESCRIPTION DRUG,medrol,methylprednisolone,TABLET,ORAL,0,1
000090022,HUMAN PRESCRIPTION DRUG,medrol,methylprednisolone,TABLET,ORAL,0,1
000090029,HUMAN PRESCRIPTION DRUG,xanax,alprazolam,TABLET,ORAL,0,1
000090031,HUMAN PRESCRIPTION DRUG,cortef,hydrocortisone,TABLET,ORAL,0,1
000090044,HUMAN PRESCRIPTION DRUG,cortef,hydrocortisone,TABLET,ORAL,0,1
000090051,HUMAN PRESCRIPTION DRUG,provera,medroxyprogesterone acetate,TABLET,ORAL,0,1
000090055,HUMAN PRESCRIPTION DRUG,xanax,alprazolam,TABLET,ORAL,0,1
000090056,HUMAN PRESCRIPTION DRUG,medrol,methylprednisolone,TABLET,ORAL,0,1
000090057,HUMAN PRESCRIPTION DRUG,xanax,alprazolam,TABLET,ORAL,0,1
000090059,HUMAN PRESCRIPTION DRUG,xanax,alprazolam,TABLET,ORAL,0,1
000090065,HUMAN PRESCRIPTION DRUG,provera,medroxyprogesterone acetate,TABLET,ORAL,0,1
000090066,HUMAN PRESCRIPTION DRUG,xanax,alprazolam,TABLET,ORAL,0,1
000090068,HUMAN PRESCRIPTION DRUG,xanax,alprazolam,TABLET,ORAL,0,1
000090073,HUMAN PRESCRIPTION DRUG,medrol,methylprednisolone,TABLET,ORAL,0,1
000090090,HUMAN PRESCRIPTION DRUG,xanax,alprazolam,TABLET,ORAL,0,1
000090094,HUMAN PRESCRIPTION DRUG,xanax,alprazolam,TABLET,ORAL,0,1
000090176,HUMAN PRESCRIPTION DRUG,medrol,methylprednisolone,TABLET,ORAL,0,1
000090225,HUMAN PRESCRIPTION DRUG,cleocin hydrochloride,clindamycin hydrochloride,CAPSULE,ORAL,0,1
000090260,HUMAN PRESCRIPTION DRUG,colestid,colestipol hydrochloride,GRANULE,ORAL,0,1
000090286,HUMAN PRESCRIPTION DRUG,provera,medroxyprogesterone acetate,TABLET,ORAL,0,1
000090287,HUMAN PRESCRIPTION DRUG,provera,medroxyprogesterone acetate,TABLET,ORAL,0,1
000090331,HUMAN PRESCRIPTION DRUG,cleocin hydrochloride,clindamycin hydrochloride,CAPSULE,ORAL,0,1
000090341,HUMAN PRESCRIPTION DRUG,glynase,glyburide,TABLET,ORAL,0,1
000090352,HUMAN PRESCRIPTION DRUG,glynase,glyburide,TABLET,ORAL,0,1
000090370,HUMAN PRESCRIPTION DRUG,flavored colestid,colestipol hydrochloride,GRANULE,ORAL,0,1
000090395,HUMAN PRESCRIPTION DRUG,cleocin hydrochloride,clindamycin hydrochloride,CAPSULE,ORAL,0,1
000090450,HUMAN PRESCRIPTION DRUG,colestid,colestipol hydrochloride,TABLET,ORAL,0,1
000090760,HUMAN PRESCRIPTION DRUG,cleocin pediatric,clindamycin palmitate hydrochloride,GRANULE,ORAL,0,1
000093449,HUMAN PRESCRIPTION DRUG,glynase,glyburide,TABLET,ORAL,0,1
000094541,HUMAN PRESCRIPTION DRUG,detrol,tolterodine tartrate,TABLET,ORAL,0,1
000094544,HUMAN PRESCRIPTION DRUG,detrol,tolterodine tartrate,TABLET,ORAL,0,1
000094709,HUMAN PRESCRIPTION DRUG,depo-subq provera,medroxyprogesterone acetate,INJECTION,SUBCUTANEOUS,0,0
000095136,HUMAN PRESCRIPTION DRUG,zyvox,linezolid,GRANULE,ORAL,0,1
000095138,HUMAN PRESCRIPTION DRUG,zyvox,linezolid,TABLET,ORAL,0,1
000095190,HUMAN PRESCRIPTION DRUG,detrol la,tolterodine tartrate,CAPSULE,ORAL,0,1
000095191,HUMAN PRESCRIPTION DRUG,detrol la,tolterodine tartrate,CAPSULE,ORAL,0,1
000097663,HUMAN PRESCRIPTION DRUG,aromasin,exemestane,TABLET,ORAL,0,1
000097667,HUMAN PRESCRIPTION DRUG,cleocin,clindamycin phosphate,SUPPOSITORY,VAGINAL,0,0
000130101,HUMAN PRESCRIPTION DRUG,azulfidine,sulfasalazine,TABLET,ORAL,0,1
000130102,HUMAN PRESCRIPTION DRUG,azulfidine,sulfasalazine,TABLET,ORAL,0,1
000130132,HUMAN PRESCRIPTION DRUG,emcyt,estramustine phosphate sodium,CAPSULE,ORAL,0,1
000135301,HUMAN PRESCRIPTION DRUG,mycobutin,rifabutin,CAPSULE,ORAL,0,1
000235853,HUMAN PRESCRIPTION DRUG,delzicol,mesalamine,CAPSULE,ORAL,0,1
000235885,HUMAN PRESCRIPTION DRUG,alora,estradiol,PATCH,TRANSDERMAL,0,0
000235886,HUMAN PRESCRIPTION DRUG,alora,estradiol,PATCH,TRANSDERMAL,0,0
000235887,HUMAN PRESCRIPTION DRUG,alora,estradiol,PATCH,TRANSDERMAL,0,0
000235888,HUMAN PRESCRIPTION DRUG,alora,estradiol,PATCH,TRANSDERMAL,0,0
000235901,HUMAN PRESCRIPTION DRUG,asacol hd,mesalamine,TABLET,ORAL,0,1
000235990,HUMAN PRESCRIPTION DRUG,androderm,testosterone,PATCH,TRANSDERMAL,0,0
000235992,HUMAN PRESCRIPTION DRUG,androderm,testosterone,PATCH,TRANSDERMAL,0,0
000236010,HUMAN PRESCRIPTION DRUG,fiorinal with codeine,"butalbital, aspirin, caffeine, and codeine phosphate",CAPSULE,ORAL,0,1
000236011,HUMAN PRESCRIPTION DRUG,kadian,morphine sulfate,CAPSULE,ORAL,0,1
000236012,HUMAN PRESCRIPTION DRUG,kadian,morphine sulfate,CAPSULE,ORAL,0,1
000236013,HUMAN PRESCRIPTION DRUG,kadian,morphine sulfate,CAPSULE,ORAL,0,1
000236014,HUMAN PRESCRIPTION DRUG,kadian,morphine sulfate,CAPSULE,ORAL,0,1
000236015,HUMAN PRESCRIPTION DRUG,kadian,morphine sulfate,CAPSULE,ORAL,0,1
000236016,HUMAN PRESCRIPTION DRUG,kadian,morphine sulfate,CAPSULE,ORAL,0,1
000236017,HUMAN PRESCRIPTION DRUG,kadian,morphine sulfate,CAPSULE,ORAL,0,1
000236018,HUMAN PRESCRIPTION DRUG,kadian,morphine sulfate,CAPSULE,ORAL,0,1
000236019,HUMAN PRESCRIPTION DRUG,kadian,morphine sulfate,CAPSULE,ORAL,0,1
000236110,HUMAN PRESCRIPTION DRUG,zenpep,"pancrelipase lipase, pancrelipase protease, pancrelipase amylase",CAPSULE,ORAL,0,1
000236111,HUMAN PRESCRIPTION DRUG,zenpep,"pancrelipase lipase, pancrelipase protease, pancrelipase amylase",CAPSULE,ORAL,0,1
000236112,HUMAN PRESCRIPTION DRUG,zenpep,"pancrelipase lipase, pancrelipase protease, pancrelipase amylase",CAPSULE,ORAL,0,1
000236113,HUMAN PRESCRIPTION DRUG,zenpep,"pancrelipase lipase, pancrelipase protease, pancrelipase amylase",CAPSULE,ORAL,0,1
000236114,HUMAN PRESCRIPTION DRUG,zenpep,"pancrelipase lipase, pancrelipase protease, pancrelipase amylase",CAPSULE,ORAL,0,1
000236115,HUMAN PRESCRIPTION DRUG,zenpep,"pancrelipase lipase, pancrelipase protease, pancrelipase amylase",CAPSULE,ORAL,0,1
000236116,HUMAN PRESCRIPTION DRUG,zenpep,"pancrelipase lipase, pancrelipase protease, pancrelipase amylase",CAPSULE,ORAL,0,1
000236142,HUMAN PRESCRIPTION DRUG,rapaflo,silodosin,CAPSULE,ORAL,0,1
000236146,HUMAN PRESCRIPTION DRUG,fiorinal,"butalbital, aspirin, and caffeine",CAPSULE,ORAL,0,1
000236147,HUMAN PRESCRIPTION DRUG,rapaflo,silodosin,CAPSULE,ORAL,0,1
000236153,HUMAN PRESCRIPTION DRUG,oxytrol,oxybutynin,PATCH,TRANSDERMAL,0,0
